Admin Level 3,GAL2ID,Admin Level 2
N/A,1,N/A
Pirojpur,58,Pirojpur
Mathbaria,58,Pirojpur
Swarupkathi,58,Pirojpur
Jhalokathi,60,Jhalokathi
Barguna,59,Barguna
Amtali,59,Barguna
Patuakhali,61,Patuakhali
Galachipa,61,Patuakhali
Kalapara,61,Patuakhali
Bhola,56,Bhola
Lalmohan,56,Bhola
Charfassion,56,Bhola
Burhanuddin,56,Bhola
Gouranadi,57,Barishal
Muladi,57,Barishal
Mehendiganj,57,Barishal
Bakerganj,57,Barishal
Banaripara,57,Barishal
Nalchhity,60,Jhalokathi
Patharghata,59,Barguna
Bauphal,61,Patuakhali
Daulatkhan,56,Bhola
Kuakata,61,Patuakhali
Betagi,59,Barguna
Uzirpur,57,Barishal
Bhandaria,58,Pirojpur
Patiya,19,Chattogram
Bariarhat,19,Chattogram
Sitakunda,19,Chattogram
Satkania,19,Chattogram
Bashkhali,19,Chattogram
Cox’s Bazar,20,Cox's Bazar
Chakoria,20,Cox's Bazar
Rangamati,28,Rangamati
Bandarban,21,Bandarban
Khagrachhari,29,Khagrachari
Chandanaish,19,Chattogram
Raojan,19,Chattogram
Mirsharai,19,Chattogram
Rangunia,19,Chattogram
Sandwip,19,Chattogram
Teknaf,20,Cox's Bazar
Moheskhali,20,Cox's Bazar
Ramgarh,29,Khagrachari
Lama,21,Bandarban
Fatikchhari,19,Chattogram
Hathazari,19,Chattogram
Boalkhali,19,Chattogram
Nazirhat,19,Chattogram
Matiranga,29,Khagrachari
Baghaichhari,28,Rangamati
Chandpur,24,Chandpur
Haziganj,24,Chandpur
Shahrasti,24,Chandpur
Kachua,24,Chandpur
Noakhali,27,Noakhali
Choumuhani,27,Noakhali
Chatkhil,27,Noakhali
Basurhat,27,Noakhali
Sonaimuri,27,Noakhali
Laxmipur,26,Lakshmipur
Ramganj,26,Lakshmipur
Raipur,26,Lakshmipur
Feni,25,Feni
Daganbhuiyan,25,Feni
Kabirhat,27,Noakhali
Senbag,27,Noakhali
Chhagalnaiya,25,Feni
Sonagazi,25,Feni
Parshuram,25,Feni
Matlab,24,Chandpur
Chengarchar,24,Chandpur
Faridganj,24,Chandpur
Narayanpur,24,Chandpur
Hatiya,27,Noakhali
Dohazari,19,Chattogram
Tarabo,8,Narayanganj
Narsingdi,11,Narsingdi
Madhabdi,11,Narsingdi
Ghorashal,11,Narsingdi
Savar,2,Dhaka
Dohar,2,Dhaka
Tangail,13,Tangail
Kaliakoir,3,Gazipur
Munshiganj,4,Munshiganj
Mirkadim,4,Munshiganj
Manikganj,9,Manikganj
Gopalpur,13,Tangail
Bhuapur,13,Tangail
Ghatail,13,Tangail
Madhupur,13,Tangail
Mirzapur,13,Tangail
Dhanbari,13,Tangail
Kalihati,13,Tangail
Sakhipur,13,Tangail
Sonargaon,8,Narayanganj
Dhamrai,2,Dhaka
Sreepur,3,Gazipur
Kaliganj,3,Gazipur
Singair,9,Manikganj
Elenga,13,Tangail
Basail,13,Tangail
Monohardi,11,Narsingdi
Shibpur,11,Narsingdi
Raipura,11,Narsingdi
Kanchan,8,Narayanganj
Araihazar,8,Narayanganj
Gopaldi,8,Narayanganj
Faridpur,10,Faridpur
Bhanga,10,Faridpur
Boalmari,10,Faridpur
Rajbari,12,Rajbari
Madaripur,14,Madaripur
Shibchar,14,Madaripur
Shariatpur,6,Shariatpur
Gopalganj,7,Gopalganj
Muksudpur,7,Gopalganj
Tungipara,7,Gopalganj
Damuddya,6,Shariatpur
Naria,6,Shariatpur
Pangsha,12,Rajbari
Goalanda,12,Rajbari
Kalkini,14,Madaripur
Nagarkanda,10,Faridpur
Madhukhali,10,Faridpur
Rajoir,14,Madaripur
Zanjira,6,Shariatpur
Bhedarganj,6,Shariatpur
Goshairhat,6,Shariatpur
Kishoreganj,5,Kishoreganj
Bhairab,5,Kishoreganj
Bajitpur,5,Kishoreganj
Karimganj,5,Kishoreganj
Kuliarchar,5,Kishoreganj
Pakundia,5,Kishoreganj
Hossainpur,5,Kishoreganj
Kotalipara,7,Gopalganj
Alfadanga,10,Faridpur
Katiadi,5,Kishoreganj
Lohagara,39,Narail
Kalia,39,Narail
Magura,37,Magura
Narail,39,Narail
Jhenaidaha,36,Jhenaidah
Kotchandpur,36,Jhenaidah
Maheshpur,36,Jhenaidah
Kaliganj,36,Jhenaidah
Shailkupa,36,Jhenaidah
Chuadanga,34,Chuadanga
Alamdanga,34,Chuadanga
Satkhira,32,Satkhira
Kushtia,33,Kushtia
Kumarkhali,33,Kushtia
Bagerhat,35,Bagerhat
Mongla,35,Bagerhat
Meherpur,38,Meherpur
Paikgachha,30,Khulna
Chalna,30,Khulna
Bheramara,33,Kushtia
Mirpur,33,Kushtia
Gangni,38,Meherpur
Kalaroa,32,Satkhira
Jiban Nagar,34,Chuadanga
Darshana,34,Chuadanga
Morrelganj,35,Bagerhat
Khoksha,33,Kushtia
Harinakunda,36,Jhenaidah
Gafargaon,15,Mymensingh
Trishal,15,Mymensingh
Muktagacha,15,Mymensingh
Ishwarganj,15,Mymensingh
Bhaluka,15,Mymensingh
Gauripur,15,Mymensingh
Phulpur,15,Mymensingh
Jamalpur,17,Jamalpur
Sherpur,16,Sherpur
Netrokona,18,Netrokona
Sharishabari,17,Jamalpur
Islampur,17,Jamalpur
Melandaha,17,Jamalpur
Dewanganj,17,Jamalpur
Madarganj,17,Jamalpur
Fulbaria,15,Mymensingh
Mohanganj,18,Netrokona
Nalitabari,16,Sherpur
Durgapur,18,Netrokona
Kendua,18,Netrokona
Madan,18,Netrokona
Nakla,16,Sherpur
Sreebardi,16,Sherpur
Nandail,15,Mymensingh
Haluaghat,15,Mymensingh
Bakshiganj,17,Jamalpur
Hazrabari,17,Jamalpur
Bogura,44,Bogura
Sherpur,44,Bogura
Nandigram,44,Bogura
Pabna,47,Pabna
Ishwardi,47,Pabna
Bera,47,Pabna
Suzanagar,47,Pabna
Santhia,47,Pabna
Joypurhat,43,Joypurhat
Panchbibi,43,Joypurhat
Natore,46,Natore
Gurudaspur,46,Natore
Singra,46,Natore
Banpara,46,Natore
Naogaon,41,Naogaon
Godagari,40,Rajshahi
Taherpur,40,Rajshahi
Naohata,40,Rajshahi
Charghat,40,Rajshahi
Baraigram,46,Natore
Dhamoirhat,41,Naogaon
Nazipur,41,Naogaon
Dhupchanchia,44,Bogura
Dhunat,44,Bogura
Kalai,43,Joypurhat
Akkelpur,43,Joypurhat
Khetlal,43,Joypurhat
Mondumala,40,Rajshahi
Bagha,40,Rajshahi
Keshorehat,40,Rajshahi
Kakonhat,40,Rajshahi
Arani,40,Rajshahi
Chatmohar,47,Pabna
Bhangura,47,Pabna
Faridpur,47,Pabna
Santahar,44,Bogura
Gopalpur,46,Natore
Bagatipara,46,Natore
Naldanga,46,Natore
Atgharia,47,Pabna
Sariakandi,44,Bogura
Sonatola,44,Bogura
Shibganj,44,Bogura
Kahaloo,44,Bogura
Gabtali,44,Bogura
Talora,44,Bogura
Bhabaniganj,40,Rajshahi
Tanore,40,Rajshahi
Puthia,40,Rajshahi
Katakhali,40,Rajshahi
Durgapur,40,Rajshahi
Gaibandha,51,Gaibandha
Gobindaganj,51,Gaibandha
Dinajpur,49,Dinajpur
Setabganj,49,Dinajpur
Birampur,49,Dinajpur
Parbatipur,49,Dinajpur
Fulbari,49,Dinajpur
Thakurgaon,55,Thakurgaon
Nilphamari,48,Nilphamari
Saidpur,48,Nilphamari
Kurigram,52,Kurigram
Nageswari,52,Kurigram
Lalmonirhat,53,Lalmonirhat
Patgram,53,Lalmonirhat
Birganj,49,Dinajpur
Sundarganj,51,Gaibandha
Ulipur,52,Kurigram
Jaldhaka,48,Nilphamari
Badarganj,54,Rangpur
Pirganj,55,Thakurgaon
Domar,48,Nilphamari
Haragachh,54,Rangpur
Pirganj,54,Rangpur
Hakimpur,49,Dinajpur
Ghoraghat,49,Dinajpur
Biral,49,Dinajpur
Palashbari,51,Gaibandha
Ranisankail,55,Thakurgaon
Habiganj,64,Habiganj
Madhabpur,64,Habiganj
Shayestaganj,64,Habiganj
Laksham,22,Comilla
Chouddagram,22,Comilla
Panchagar,50,Panchagar
Kazipur,42,Shirajganj
Raiganj,42,Shirajganj
Tarash,42,Shirajganj
Belkuchi,42,Shirajganj
Nachol,45,Chapainawabganj
Chapainawabganjanj,45,Chapainawabganj
Shibganj,45,Chapainawabganj
Rohanpur,45,Chapainawabganj
Shirajganj,42,Shirajganj
Shahjadpur,42,Shirajganj
Ullapara,42,Shirajganj
Daudkandi,22,Comilla
Chandina,22,Comilla
Debidwar,22,Comilla
Homna,22,Comilla
Barura,22,Comilla
Nangalkot,22,Comilla
