0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Sesame,8,Oil Seeds,2,E,1,,Metric Ton/ Year,"32,434.08",32434.08,20-Jul,21-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Sesame,8,Oil Seeds,2,E,1,,Metric Ton/ Year,"31,060.23",31060.23,21-Jul,22-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Sesame,8,Oil Seeds,2,E,1,,Metric Ton/ Year,"30,714.68",30714.68,22-Jul,23-Jun,10/17/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Rape & Mustard,9,Oil Seeds,2,E,1,,Metric Ton/ Year,"396,594.28",396594.28,20-Jul,21-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Rape & Mustard,9,Oil Seeds,2,E,1,,Metric Ton/ Year,"409,659.06",409659.06,21-Jul,22-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Rape & Mustard,9,Oil Seeds,2,E,1,,Metric Ton/ Year,"547,425.32",547425.32,22-Jul,23-Jun,10/17/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Ground Nut,10,Oil Seeds,2,E,1,,Metric Ton/ Year,"66,745.41",66745.41,20-Jul,21-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Ground Nut,10,Oil Seeds,2,E,1,,Metric Ton/ Year,"74,748.67",74748.67,21-Jul,22-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Ground Nut,10,Oil Seeds,2,E,1,,Metric Ton/ Year,"75,030.85",75030.85,22-Jul,23-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Soya Bean,4,Oil Seeds,2,E,1,,Metric Ton/ Year,"91,176.59",91176.59,20-Jul,21-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Soya Bean,4,Oil Seeds,2,E,1,,Metric Ton/ Year,"98,646.06",98646.06,21-Jul,22-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Soya Bean,4,Oil Seeds,2,E,1,,Metric Ton/ Year,"107,307.59",107307.59,22-Jul,23-Jun,10/16/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Coconut,7,Oil Seeds,2,E,1,,Metric Ton/ Year,"402,852.00",402852,21-Jul,22-Jun,10/17/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Coconut,7,Oil Seeds,2,E,1,,Metric Ton/ Year,"411,969.56",411969.56,22-Jul,23-Jun,10/18/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Coconut,7,Oil Seeds,2,E,1,,Metric Ton/ Year,"403,657.65",403657.65,22-Jul,23-Jul,10/19/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Sunflower,6,Oil Seeds,2,E,1,,Metric Ton/ Year,"2,006.20",2006.2,21-Jul,22-Jun,10/19/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Sunflower,6,Oil Seeds,2,E,1,,Metric Ton/ Year,"2,728.99",2728.99,22-Jul,23-Jun,10/19/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
Sunflower,6,Oil Seeds,2,E,1,,Metric Ton/ Year,"3,622.11",3622.11,22-Jul,23-Jul,10/19/2024,Yearbook of Agrilculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,Local Production,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
