Food Vehicle,VehicleID,Food Type,FoodTypeID,Processing Stage,RawCropsID,Country,Country_ID,Source Volume Unit,Source Volume,Converted Value, Volume Unit,Periodical Unit,Start Year,End Year,Accessed Date,Source,Link,Process to Obtain Data
E,1,Sesame,8,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2020,June 2021,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Sesame,8,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2021,June 2022,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Sesame,8,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,June 2023,17-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Rape & Mustard,9,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2020,June 2021,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Rape & Mustard,9,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2021,June 2022,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Rape & Mustard,9,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,June 2023,17-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Ground Nut,10,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2020,June 2021,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Ground Nut,10,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2021,June 2022,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Ground Nut,10,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,June 2023,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Soya Bean,4,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2020,June 2021,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Soya Bean,4,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2021,June 2022,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Soya Bean,4,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,June 2023,16-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Coconut,7,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2021,June 2022,17-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Coconut,7,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,June 2023,18-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Coconut,7,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,July 2023,19-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Sunflower,6,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2021,June 2022,19-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Sunflower,6,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,June 2023,19-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
E,1,Sunflower,6,Oil Seeds,2,Bangladesh,1,Metric Ton/ Year,0,0,Metric Ton,Annual,July 2022,July 2023,19-Oct-24,Yearbook of Agriculture Statistics 2023 -  BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.
